id;title;type;issue_date;file;file_content_type;file_content_type;citizen_id
1;knitting;decent bliss;2025-08-03T03:55:54;../fake-data/blob/hipster.png;image/png;oh;16365
2;oof from;quart outfit unabashedly;2025-08-03T00:15:40;../fake-data/blob/hipster.png;image/png;out out;6568
3;cop-out;clueless calculus yum;2025-08-03T10:30:30;../fake-data/blob/hipster.png;image/png;CD splash;11047
4;against feather;anaesthetise contrast ostrich;2025-08-03T01:05:32;../fake-data/blob/hipster.png;image/png;sweet ferociously yahoo;29504
5;even clinking;cop righteously;2025-08-03T17:14:48;../fake-data/blob/hipster.png;image/png;whoever knavishly;28776
6;palatable meh accessorise;consequently;2025-08-03T16:02:51;../fake-data/blob/hipster.png;image/png;drowse oxidize lowball;18738
7;thread sign until;lest delightfully sleepily;2025-08-03T08:15:11;../fake-data/blob/hipster.png;image/png;yippee eulogise smoke;2572
8;kindheartedly;diver;2025-08-03T03:34:22;../fake-data/blob/hipster.png;image/png;truthfully makeover;6781
9;homeschool notwithstanding;oh small;2025-08-03T10:10:08;../fake-data/blob/hipster.png;image/png;rudely;9521
10;step;now harp;2025-08-03T02:10:24;../fake-data/blob/hipster.png;image/png;afore;4261
