id;type;description;status;created_date;resolved_date;citizen_id;municipality_id
1;popularize;joyous;PENDING;2025-08-02T22:25:06;2025-08-03T11:12:36;12019;25821
2;well-groomed;after pomelo;REJECTED;2025-08-03T09:19:02;2025-08-03T00:18:08;2099;323
3;opposite;mobilize well-to-do;PENDING;2025-08-02T21:12:56;2025-08-03T13:40:10;18547;30186
4;now;quickly;REJECTED;2025-08-03T10:41:50;2025-08-03T04:49:37;23133;6488
5;past quip;drat hm opposite;REJECTED;2025-08-03T11:00:52;2025-08-03T13:56:54;6576;27223
6;lest magnetize;since;REJECTED;2025-08-03T16:10:32;2025-08-03T10:26:04;1513;7381
7;feminize marvelous;recovery;RESOLVED;2025-08-03T05:01:39;2025-08-03T17:12:43;9751;30965
8;profuse valuable or;searchingly until;RESOLVED;2025-08-03T01:24:10;2025-08-03T18:16:59;4796;13536
9;gladly;blah obnoxiously pear;RESOLVED;2025-08-02T21:40:34;2025-08-03T17:00:15;1537;12852
10;briefly;hence;IN_PROGRESS;2025-08-03T13:16:54;2025-08-03T04:55:47;21438;17304
