id;type;description;status;created_date;resolved_date;citizen_id;municipality_id
1;silk gosh meaningfully;malfunction into smoothly;REJECTED;2025-08-03T01:32:18;2025-08-03T12:20:30;12635;7397
2;if;gummy mmm;RESOLVED;2025-08-03T16:39:30;2025-08-03T07:33:56;22740;21004
3;intermarry provided scope;once alligator only;IN_PROGRESS;2025-08-03T19:20:49;2025-08-03T17:31:54;17065;2442
4;cruelty;rear deliquesce before;IN_PROGRESS;2025-08-02T23:51:37;2025-08-03T17:18:49;16047;19460
5;following ferociously which;devil solicit charter;RESOLVED;2025-08-02T21:03:02;2025-08-03T04:32:41;8561;9444
6;aw;clearly unexpectedly ugh;IN_PROGRESS;2025-08-03T18:03:30;2025-08-03T09:22:56;6092;23227
7;though outrank;adjudge babyish;RESOLVED;2025-08-03T08:48:07;2025-08-03T06:35:02;19177;16170
8;eek till;meh;IN_PROGRESS;2025-08-03T01:40:04;2025-08-02T19:57:53;18370;5408
9;by fictionalize what;unless till;PENDING;2025-08-03T07:52:34;2025-08-03T01:34:23;28845;15257
10;idle;joyously;RESOLVED;2025-08-03T01:53:06;2025-08-03T07:02:26;7569;30592
